name,label,downloads,source
bitcion-ops,1,50,npmjs-mal-pkgs.nov2019.with_stats.txt
bip30,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
bictore-lib,1,83,npmjs-mal-pkgs.nov2019.with_stats.txt
bictoinjs-lib,1,262,npmjs-mal-pkgs.nov2019.with_stats.txt
bictoind-rpc,1,79,npmjs-mal-pkgs.nov2019.with_stats.txt
bictoin-ops,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
bconi,1,105,npmjs-mal-pkgs.nov2019.with_stats.txt
bcion,1,83,npmjs-mal-pkgs.nov2019.with_stats.txt
baes-x,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
babel-loqder,1,48,npmjs-mal-pkgs.nov2019.with_stats.txt
babel-loadre,1,49,npmjs-mal-pkgs.nov2019.with_stats.txt
babel-laoder,1,61,npmjs-mal-pkgs.nov2019.with_stats.txt
cxct,1,51,npmjs-mal-pkgs.nov2019.with_stats.txt
malicious-npm-package,1,114,npmjs-mal-pkgs.nov2019.with_stats.txt
sj-labc,1,62,npmjs-mal-pkgs.nov2019.with_stats.txt
superhappyfuntime,1,107,npmjs-mal-pkgs.nov2019.with_stats.txt
arsenic-tabasco-cyborg-peanut-butter,1,53,npmjs-mal-pkgs.nov2019.with_stats.txt
sj-tw-abc,1,55,npmjs-mal-pkgs.nov2019.with_stats.txt
sj-tw-sec,1,118,npmjs-mal-pkgs.nov2019.with_stats.txt
sj-tw-test-security,1,190,npmjs-mal-pkgs.nov2019.with_stats.txt
owl-orchard-apple-sunshine,1,219,npmjs-mal-pkgs.nov2019.with_stats.txt
tiar,1,135,npmjs-mal-pkgs.july2019.with_stats.txt
secure_identity_login_module,1,159,npmjs-mal-pkgs.july2019.with_stats.txt
river-mock,1,162,npmjs-mal-pkgs.july2019.with_stats.txt
ali-contributors,1,529,npmjs-mal-pkgs.july2019.with_stats.txt
retcodelog,1,157,npmjs-mal-pkgs.july2019.with_stats.txt
qingting,1,129,npmjs-mal-pkgs.july2019.with_stats.txt
node-buc,1,189,npmjs-mal-pkgs.july2019.with_stats.txt
next-util,1,189,npmjs-mal-pkgs.july2019.with_stats.txt
midway-xtpl,1,154,npmjs-mal-pkgs.july2019.with_stats.txt
midway-dataproxy,1,161,npmjs-mal-pkgs.july2019.with_stats.txt
luna-mock,1,118,npmjs-mal-pkgs.july2019.with_stats.txt
hsf-clients,1,155,npmjs-mal-pkgs.july2019.with_stats.txt
hpmm,1,107,npmjs-mal-pkgs.july2019.with_stats.txt
diamond-clien,1,142,npmjs-mal-pkgs.july2019.with_stats.txt
cicada-render,1,167,npmjs-mal-pkgs.july2019.with_stats.txt
appx-compiler,1,162,npmjs-mal-pkgs.july2019.with_stats.txt
antd-cloud,1,112,npmjs-mal-pkgs.july2019.with_stats.txt
alipayjsapi,1,126,npmjs-mal-pkgs.july2019.with_stats.txt
alico,1,150,npmjs-mal-pkgs.july2019.with_stats.txt
ali-contributor,1,314,npmjs-mal-pkgs.july2019.with_stats.txt
load-from-cwd-or-npm,1,196935,npmjs-mal-pkgs.july2019.with_stats.txt
rate-map,1,120845,npmjs-mal-pkgs.july2019.with_stats.txt
cage-js,1,1287,npmjs-mal-pkgs.july2019.with_stats.txt
fast-requests,1,145,npmjs-mal-pkgs.july2019.with_stats.txt
cal_rd,1,445,npmjs-mal-pkgs.aug2019.with_stats.txt
sailclothjs,1,279,npmjs-mal-pkgs.aug2019.with_stats.txt
uploader-plugin,1,496,npmjs-mal-pkgs.aug2019.with_stats.txt
zemen,1,1504,npmjs-mal-pkgs.aug2019.with_stats.txt
bb-builder,1,1029,npmjs-mal-pkgs.aug2019.with_stats.txt
axios-http,1,154,npmjs-mal-pkgs.aug2019.with_stats.txt
axioss,1,328,npmjs-mal-pkgs.aug2019.with_stats.txt
body-parse-xml,1,194,npmjs-mal-pkgs.aug2019.with_stats.txt
file-logging,1,154,npmjs-mal-pkgs.aug2019.with_stats.txt
import-mysql,1,423,npmjs-mal-pkgs.aug2019.with_stats.txt
js-base64-int,1,142,npmjs-mal-pkgs.aug2019.with_stats.txt
js-regular,1,153,npmjs-mal-pkgs.aug2019.with_stats.txt
k0a_multer,1,239,npmjs-mal-pkgs.aug2019.with_stats.txt
koa-body-parse,1,221,npmjs-mal-pkgs.aug2019.with_stats.txt
mogobd,1,144,npmjs-mal-pkgs.aug2019.with_stats.txt
mogodb,1,1049,npmjs-mal-pkgs.aug2019.with_stats.txt
mogodb-core,1,167,npmjs-mal-pkgs.aug2019.with_stats.txt
mogoose,1,13179,npmjs-mal-pkgs.aug2019.with_stats.txt
mysql-koa,1,149,npmjs-mal-pkgs.aug2019.with_stats.txt
node-ftp,1,3689,npmjs-mal-pkgs.aug2019.with_stats.txt
node-spdy,1,821,npmjs-mal-pkgs.aug2019.with_stats.txt
serializes,1,141,npmjs-mal-pkgs.aug2019.with_stats.txt
serilize,1,166,npmjs-mal-pkgs.aug2019.with_stats.txt
sparkies,1,164,npmjs-mal-pkgs.aug2019.with_stats.txt
beffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bqffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
btffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bubfer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
budfer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bufber-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bufder-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffar-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffdr-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffe2-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffeb-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffez-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffev-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffes-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffermxor,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-zor,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-yor,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xoz,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xov,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xos,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xop,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xob,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xo2,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xnr,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xmr,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xkr,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-xgr,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-por,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-hor,1,0,npmjs-mal-pkgs.oct2019.txt
buffer-8or,1,0,npmjs-mal-pkgs.oct2019.txt
buffep-xor,1,0,npmjs-mal-pkgs.oct2019.txt
jr-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
jq-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
jc-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
j3-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
hs-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
bs-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
ruffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
juffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
fuffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
cuffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bwffer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buvfer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bunfer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bugfer-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bufver-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bufner-xor,1,0,npmjs-mal-pkgs.oct2019.txt
bufger-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffur-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffmr-xor,1,0,npmjs-mal-pkgs.oct2019.txt
buffgr-xor,1,0,npmjs-mal-pkgs.oct2019.txt
zs-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
ns-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
ks-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
jw-sha3,1,0,npmjs-mal-pkgs.oct2019.txt
jsmsha3,1,0,npmjs-mal-pkgs.oct2019.txt
js-wha3,1,0,npmjs-mal-pkgs.oct2019.txt
js-sxa3,1,0,npmjs-mal-pkgs.oct2019.txt
js-sla3,1,0,npmjs-mal-pkgs.oct2019.txt
js-sja3,1,0,npmjs-mal-pkgs.oct2019.txt
js-sia3,1,0,npmjs-mal-pkgs.oct2019.txt
js-shq3,1,0,npmjs-mal-pkgs.oct2019.txt
js-shi3,1,0,npmjs-mal-pkgs.oct2019.txt
js-she3,1,0,npmjs-mal-pkgs.oct2019.txt
js-shc3,1,0,npmjs-mal-pkgs.oct2019.txt
js-shas,1,0,npmjs-mal-pkgs.oct2019.txt
js-sha7,1,0,npmjs-mal-pkgs.oct2019.txt
js-rha3,1,0,npmjs-mal-pkgs.oct2019.txt
js-qha3,1,0,npmjs-mal-pkgs.oct2019.txt
js-cha3,1,0,npmjs-mal-pkgs.oct2019.txt
js-3ha3,1,0,npmjs-mal-pkgs.oct2019.txt
froever,1,203,npmjs-mal-pkgs.june2019.with_stats.txt
hulp,1,311,npmjs-mal-pkgs.june2019.with_stats.txt
jqeury,1,1669,npmjs-mal-pkgs.june2019.with_stats.txt
jquerz,1,221,npmjs-mal-pkgs.june2019.with_stats.txt
logsymbles,1,174,npmjs-mal-pkgs.june2019.with_stats.txt
require-ports,1,200,npmjs-mal-pkgs.june2019.with_stats.txt
tensorplow,1,236,npmjs-mal-pkgs.june2019.with_stats.txt
uglyfi-js,1,65,npmjs-mal-pkgs.june2019.with_stats.txt
yeoman-genrator,1,215,npmjs-mal-pkgs.june2019.with_stats.txt
rimrafall,1,307,npmjs-mal-pkgs.june2019.with_stats.txt
kraken-api,1,145624,npmjs-mal-pkgs.june2019.with_stats.txt
angluar-cli,1,2608,npmjs-mal-pkgs.june2019.with_stats.txt
font-scrubber,1,563,npmjs-mal-pkgs.june2019.with_stats.txt
blubird,1,8435,npmjs-mal-pkgs.june2019.with_stats.txt
commmander,1,1363,npmjs-mal-pkgs.june2019.with_stats.txt
commqnder,1,374,npmjs-mal-pkgs.june2019.with_stats.txt
epress,1,4693,npmjs-mal-pkgs.june2019.with_stats.txt
electron-native-notify,1,5197,npmjs-mal-pkgs.june2019.with_stats.txt
json-serializer,1,7180,npmjs-mal-pkgs.june2019.with_stats.txt
pm-controls,1,44936,npmjs-mal-pkgs.june2019.with_stats.txt
ngx-pica,1,12391,npmjs-mal-pkgs.june2019.with_stats.txt
mx-nested-menu,1,5627,npmjs-mal-pkgs.june2019.with_stats.txt
react-datepicker-plus,1,8735,npmjs-mal-pkgs.june2019.with_stats.txt
vue-backbone,1,29625,npmjs-mal-pkgs.june2019.with_stats.txt
scroool,1,1354,npmjs-mal-pkgs.june2019.with_stats.txt
radicjs,1,505,npmjs-mal-pkgs.june2019.with_stats.txt
radic-util,1,663,npmjs-mal-pkgs.june2019.with_stats.txt
precode.js,1,1280,npmjs-mal-pkgs.june2019.with_stats.txt
ng-ui-library,1,40496,npmjs-mal-pkgs.june2019.with_stats.txt
motiv.scss,1,18180,npmjs-mal-pkgs.june2019.with_stats.txt
libubx,1,958,npmjs-mal-pkgs.june2019.with_stats.txt
leaflet-gpx,1,5633,npmjs-mal-pkgs.june2019.with_stats.txt
jekyll-for-github-projects,1,3788,npmjs-mal-pkgs.june2019.with_stats.txt
grunt-radical,1,2078,npmjs-mal-pkgs.june2019.with_stats.txt
grunt-radic,1,456,npmjs-mal-pkgs.june2019.with_stats.txt
github-jquery-widgets,1,1151,npmjs-mal-pkgs.june2019.with_stats.txt
geoheat,1,1493,npmjs-mal-pkgs.june2019.with_stats.txt
ember-power-timepicker,1,9220,npmjs-mal-pkgs.june2019.with_stats.txt
angular-location-update,1,22985,npmjs-mal-pkgs.june2019.with_stats.txt
maleficent,1,374,npmjs-mal-pkgs.june2019.with_stats.txt
smartsearchwp,1,624,npmjs-mal-pkgs.june2019.with_stats.txt
soket.js,1,170,npmjs-mal-pkgs.june2019.with_stats.txt
soket.io,1,1712,npmjs-mal-pkgs.june2019.with_stats.txt
regenrator,1,166,npmjs-mal-pkgs.june2019.with_stats.txt
regenraotr,1,58,npmjs-mal-pkgs.june2019.with_stats.txt
dictum.js,1,19316,npmjs-mal-pkgs.june2019.with_stats.txt
rpc-websocket,1,15310,npmjs-mal-pkgs.maloss.with_stats.txt
blingjs,1,452,npmjs-mal-pkgs.june2019.with_stats.txt
freshdom,1,579,npmjs-mal-pkgs.june2019.with_stats.txt
jasmin,1,12337,npmjs-mal-pkgs.june2019.with_stats.txt
rc-calendar-jhorst,1,247,npmjs-mal-pkgs.june2019.with_stats.txt
@impala/bmap,1,322,npmjs-mal-pkgs.june2019.with_stats.txt
angular-bmap,1,1566,npmjs-mal-pkgs.june2019.with_stats.txt
angular-material-sidenav-rnd,1,2690,npmjs-mal-pkgs.june2019.with_stats.txt
another-date-picker,1,4264,npmjs-mal-pkgs.june2019.with_stats.txt
another-date-range-picker,1,7461,npmjs-mal-pkgs.june2019.with_stats.txt
awesome_react_utility,1,425,npmjs-mal-pkgs.june2019.with_stats.txt
codify,1,7900,npmjs-mal-pkgs.june2019.with_stats.txt
coffee-project,1,8135,npmjs-mal-pkgs.june2019.with_stats.txt
cordova-plugin-china-picker,1,3401,npmjs-mal-pkgs.june2019.with_stats.txt
css_transform_step,1,787,npmjs-mal-pkgs.june2019.with_stats.txt
css_transform_support,1,456,npmjs-mal-pkgs.june2019.with_stats.txt
dossier,1,1264,npmjs-mal-pkgs.june2019.with_stats.txt
dynamo-schema,1,1195,npmjs-mal-pkgs.june2019.with_stats.txt
impala,1,1784,npmjs-mal-pkgs.june2019.with_stats.txt
modlibrary,1,8733,npmjs-mal-pkgs.june2019.with_stats.txt
nginxbeautifier,1,6403,npmjs-mal-pkgs.june2019.with_stats.txt
oauth-validator,1,400,npmjs-mal-pkgs.june2019.with_stats.txt
react-dates-sc,1,17398,npmjs-mal-pkgs.june2019.with_stats.txt
react-server-native,1,966,npmjs-mal-pkgs.june2019.with_stats.txt
s3asy,1,6182,npmjs-mal-pkgs.june2019.with_stats.txt
simple-alipay,1,282,npmjs-mal-pkgs.june2019.with_stats.txt
xoc,1,956,npmjs-mal-pkgs.june2019.with_stats.txt
equest,1,124,npmjs-mal-pkgs.may2019.with_stats.txt
eact,1,189,npmjs-mal-pkgs.may2019.with_stats.txt
commnader,1,148,npmjs-mal-pkgs.may2019.with_stats.txt
chak,1,177,npmjs-mal-pkgs.may2019.with_stats.txt
calk,1,137,npmjs-mal-pkgs.may2019.with_stats.txt
aysnc,1,490,npmjs-mal-pkgs.may2019.with_stats.txt
asyync,1,101,npmjs-mal-pkgs.may2019.with_stats.txt
asynnc,1,101,npmjs-mal-pkgs.may2019.with_stats.txt
asymc,1,105,npmjs-mal-pkgs.may2019.with_stats.txt
asycn,1,600,npmjs-mal-pkgs.may2019.with_stats.txt
asnyc,1,140,npmjs-mal-pkgs.may2019.with_stats.txt
asnc,1,110,npmjs-mal-pkgs.may2019.with_stats.txt
asinc,1,104,npmjs-mal-pkgs.may2019.with_stats.txt
aasync,1,109,npmjs-mal-pkgs.may2019.with_stats.txt
4equest,1,118,npmjs-mal-pkgs.may2019.with_stats.txt
discord_debug_log,1,309,npmjs-mal-pkgs.may2019.with_stats.txt
donotinstallthis,1,492,npmjs-mal-pkgs.may2019.with_stats.txt
carloprojectlesang,1,74,npmjs-mal-pkgs.may2019.with_stats.txt
carloprojectdiscord,1,88,npmjs-mal-pkgs.may2019.with_stats.txt
wepack-cli,1,682,npmjs-mal-pkgs.may2019.with_stats.txt
rrequest,1,111,npmjs-mal-pkgs.may2019.with_stats.txt
rqeuest,1,99,npmjs-mal-pkgs.may2019.with_stats.txt
reuest,1,245,npmjs-mal-pkgs.may2019.with_stats.txt
requuest,1,113,npmjs-mal-pkgs.may2019.with_stats.txt
requst,1,308,npmjs-mal-pkgs.may2019.with_stats.txt
requset,1,1511,npmjs-mal-pkgs.may2019.with_stats.txt
requets,1,160,npmjs-mal-pkgs.may2019.with_stats.txt
requet,1,178,npmjs-mal-pkgs.may2019.with_stats.txt
requestt,1,108,npmjs-mal-pkgs.may2019.with_stats.txt
requesst,1,132,npmjs-mal-pkgs.may2019.with_stats.txt
reques,1,820,npmjs-mal-pkgs.may2019.with_stats.txt
requeest,1,125,npmjs-mal-pkgs.may2019.with_stats.txt
reqquest,1,105,npmjs-mal-pkgs.may2019.with_stats.txt
reequest,1,119,npmjs-mal-pkgs.may2019.with_stats.txt
momen,1,1363,npmjs-mal-pkgs.may2019.with_stats.txt
jajajejejiji,1,86,npmjs-mal-pkgs.may2019.with_stats.txt
exprss,1,485,npmjs-mal-pkgs.may2019.with_stats.txt
experss,1,4415,npmjs-mal-pkgs.may2019.with_stats.txt
erquest,1,107,npmjs-mal-pkgs.may2019.with_stats.txt
destroyer-of-worlds,1,594,npmjs-mal-pkgs.may2019.with_stats.txt
reqest,1,244,npmjs-mal-pkgs.may2019.with_stats.txt
saync,1,110,npmjs-mal-pkgs.may2019.with_stats.txt
bowee,1,84,npmjs-mal-pkgs.may2019.with_stats.txt
whiteproject,1,273,npmjs-mal-pkgs.may2019.with_stats.txt
bowe,1,1006,npmjs-mal-pkgs.may2019.with_stats.txt
browserift,1,71,npmjs-mal-pkgs.may2019.with_stats.txt
colro-name,1,185,npmjs-mal-pkgs.may2019.with_stats.txt
colour-string,1,182,npmjs-mal-pkgs.may2019.with_stats.txt
discord.dll,1,0,npmjs-mal-pkgs.nov2020.txt
ac-addon,1,0,npmjs-mal-pkgs.nov2020.txt
wsbd.js,1,0,npmjs-mal-pkgs.nov2020.txt
discord.app,1,0,npmjs-mal-pkgs.nov2020.txt
xpc.js,1,0,npmjs-mal-pkgs.nov2020.txt
db-json.js,1,0,npmjs-mal-pkgs.nov2020.txt
jdb.js,1,0,npmjs-mal-pkgs.nov2020.txt
zg-rentals,1,0,npmjs-mal-pkgs.mar2021.txt
lyft-dataset-sdk,1,0,npmjs-mal-pkgs.mar2021.txt
serverless-slack-app,1,0,npmjs-mal-pkgs.mar2021.txt
rcenodejs,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-app-common-html,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-common-npm,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-framework,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-framework-approvals,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-framework-core-ui,1,0,npmjs-mal-pkgs.mar2021.txt
paychex-framework-forms,1,0,npmjs-mal-pkgs.mar2021.txt
getcookies,1,9648,npmjs-mal-pkgs.with_stats.txt
express-cookies,1,9633,npmjs-mal-pkgs.with_stats.txt
http-fetch-cookies,1,9508,npmjs-mal-pkgs.with_stats.txt
mailparser,1,9437868,npmjs-mal-pkgs.with_stats.txt
flatmap-stream,1,9719276,npmjs-mal-pkgs.with_stats.txt
event-stream,1,189917375,npmjs-mal-pkgs.with_stats.txt
sdfjghlkfjdshlkjdhsfg,1,1047,npmjs-mal-pkgs.with_stats.txt
maybemaliciouspackage,1,713,npmjs-mal-pkgs.with_stats.txt
ikst,1,1412,npmjs-mal-pkgs.with_stats.txt
test-module-a,1,673,npmjs-mal-pkgs.with_stats.txt
npm-exploit,1,1106,npmjs-mal-pkgs.with_stats.txt
subtitles-lib,1,1973,npmjs-mal-pkgs.with_stats.txt
anarchy,1,3352,npmjs-mal-pkgs.with_stats.txt
botbait,1,1107,npmjs-mal-pkgs.with_stats.txt
harmlesspackage,1,433,npmjs-mal-pkgs.with_stats.txt
deasyncp,1,1015,npmjs-mal-pkgs.with_stats.txt
pandora-doomsday,1,445,npmjs-mal-pkgs.with_stats.txt
mktmpio,1,3174,npmjs-mal-pkgs.with_stats.txt
npm_scripts_test_metrics,1,20669,npmjs-mal-pkgs.with_stats.txt
shrugging-logging,1,1119,npmjs-mal-pkgs.with_stats.txt
nothing-js,1,172,npmjs-mal-pkgs.with_stats.txt
ladder-text-js,1,159,npmjs-mal-pkgs.with_stats.txt
babelcli,1,1574,npmjs-mal-pkgs.with_stats.txt
crossenv,1,29837,npmjs-mal-pkgs.with_stats.txt
cross-env.js,1,1039,npmjs-mal-pkgs.with_stats.txt
d3.js,1,10427,npmjs-mal-pkgs.with_stats.txt
fabric-js,1,980,npmjs-mal-pkgs.with_stats.txt
ffmepg,1,4680,npmjs-mal-pkgs.with_stats.txt
gruntcli,1,2008,npmjs-mal-pkgs.with_stats.txt
http-proxy.js,1,859,npmjs-mal-pkgs.with_stats.txt
jquery.js,1,8243,npmjs-mal-pkgs.with_stats.txt
mariadb,1,112163,npmjs-mal-pkgs.with_stats.txt
mongose,1,21164,npmjs-mal-pkgs.with_stats.txt
mssql.js,1,877,npmjs-mal-pkgs.with_stats.txt
mssql-node,1,855,npmjs-mal-pkgs.with_stats.txt
mysqljs,1,5524,npmjs-mal-pkgs.with_stats.txt
nodecaffe,1,804,npmjs-mal-pkgs.with_stats.txt
nodefabric,1,875,npmjs-mal-pkgs.with_stats.txt
node-fabric,1,873,npmjs-mal-pkgs.with_stats.txt
nodeffmpeg,1,820,npmjs-mal-pkgs.with_stats.txt
nodemailer-js,1,865,npmjs-mal-pkgs.with_stats.txt
nodemailer.js,1,993,npmjs-mal-pkgs.with_stats.txt
nodemssql,1,844,npmjs-mal-pkgs.with_stats.txt
node-opencv,1,4383,npmjs-mal-pkgs.with_stats.txt
node-opensl,1,659,npmjs-mal-pkgs.with_stats.txt
node-openssl,1,914,npmjs-mal-pkgs.with_stats.txt
noderequest,1,893,npmjs-mal-pkgs.with_stats.txt
nodesass,1,3590,npmjs-mal-pkgs.with_stats.txt
nodesqlite,1,948,npmjs-mal-pkgs.with_stats.txt
node-sqlite,1,2477,npmjs-mal-pkgs.with_stats.txt
node-tkinter,1,665,npmjs-mal-pkgs.with_stats.txt
opencv.js,1,16611,npmjs-mal-pkgs.with_stats.txt
openssl.js,1,677,npmjs-mal-pkgs.with_stats.txt
proxy.js,1,1006,npmjs-mal-pkgs.with_stats.txt
shadowsock,1,919,npmjs-mal-pkgs.with_stats.txt
smb,1,923,npmjs-mal-pkgs.with_stats.txt
sqlite.js,1,1651,npmjs-mal-pkgs.with_stats.txt
sqliter,1,999,npmjs-mal-pkgs.with_stats.txt
sqlserver,1,1666,npmjs-mal-pkgs.with_stats.txt
tkinter,1,966,npmjs-mal-pkgs.with_stats.txt
eslint-scope,1,441731365,npmjs-mal-pkgs.with_stats.txt
eslint-config-eslint,1,329054,npmjs-mal-pkgs.with_stats.txt
eslint-config-airbnb-standard,1,114027,npmjs-mal-pkgs.with_stats.txt
rrgod,1,182,npmjs-mal-pkgs.with_stats.txt
